品牌,型号,雪茄,税前价格,库存,折扣,原价,链接,更新时间
vegas robaina,vegas robaina - unicos,vegas robaina - unicos 1 piece,14.80,available,0,14.80,https://selected-cigars.com/en/vegas-robaina-unicos,2020-04-06 19:21
vegas robaina,vegas robaina - unicos,"vegas robaina - unicos 25pcs, wooden box",348.13,available,-3%,358.90,https://selected-cigars.com/en/vegas-robaina-unicos,2020-04-06 19:21
montecristo,montecristo - no.1,montecristo - no. 1 1 piece,13.40,available,0,13.40,https://selected-cigars.com/en/montecristo-no-1,2020-04-06 19:21
montecristo,montecristo - no.1,"montecristo - no. 1 25pcs, wooden box",315.20,available,-3%,324.95,https://selected-cigars.com/en/montecristo-no-1,2020-04-06 19:21
montecristo,montecristo - especial no.2,montecristo - especial no. 2 1 piece,13.30,available,0,13.30,https://selected-cigars.com/en/montecristo-especial-no-2,2020-04-06 19:21
montecristo,montecristo - especial no.2,"montecristo - especial no. 2 25pcs, wooden box",312.85,available,-3%,322.53,https://selected-cigars.com/en/montecristo-especial-no-2,2020-04-06 19:21
por larrañaga,por larrañaga - montecarlos,por larrañaga - montecarlos 1 piece,5.20,available,0,5.20,https://selected-cigars.com/en/por-larra-aga-montecarlos,2020-04-06 19:21
por larrañaga,por larrañaga - montecarlos,"por larrañaga - montecarlos 25pcs, wooden box",122.32,available,-3%,126.10,https://selected-cigars.com/en/por-larra-aga-montecarlos,2020-04-06 19:21
sancho panza,sancho panza - non plus,sancho panza - non plus 1 piece,7.40,available,0,7.40,https://selected-cigars.com/en/sancho-panza-non-plus,2020-04-06 19:21
sancho panza,sancho panza - non plus,"sancho panza - non plus 25pcs, wooden box",174.07,small quantities available,-3%,179.45,https://selected-cigars.com/en/sancho-panza-non-plus,2020-04-06 19:21
punch,punch - punch,punch - punch 1 piece,11.90,available,0,11.90,https://selected-cigars.com/en/punch-punch,2020-04-06 19:21
punch,punch - punch,"punch - punch 1 piece, alu tubos",12.50,sold out,0,12.50,https://selected-cigars.com/en/punch-punch,2020-04-06 19:21
punch,punch - punch,"punch - punch 10pcs,  alu tubos",117.61,sold out,-3%,121.25,https://selected-cigars.com/en/punch-punch,2020-04-06 19:21
punch,punch - punch,"punch - punch 25pcs, wooden box",279.92,available,-3%,288.58,https://selected-cigars.com/en/punch-punch,2020-04-06 19:21
punch,punch - punch,"punch - punch 50pcs, wooden box",541.02,sold out,-3%,557.75,https://selected-cigars.com/en/punch-punch,2020-04-06 19:21
juan lópez,juan lópez - selección no.2,juan lópez - selección no. 2 1 piece,10.00,sold out,0,10.00,https://selected-cigars.com/en/juan-lopez-seleccion-no-2,2020-04-06 19:21
juan lópez,juan lópez - selección no.2,"juan lópez - selección no. 2 25pcs, wooden box",235.22,small quantities available,-3%,242.50,https://selected-cigars.com/en/juan-lopez-seleccion-no-2,2020-04-06 19:21
montecristo,montecristo - medias coronas,montecristo - medias coronas 1pc,6.50,available,0,6.50,https://selected-cigars.com/en/montecristo-medias-coronas,2020-04-06 19:21
montecristo,montecristo - medias coronas,montecristo - medias coronas 5pc metal box,36.70,sold out,-3%,37.83,https://selected-cigars.com/en/montecristo-medias-coronas,2020-04-06 19:21
montecristo,montecristo - medias coronas,montecristo - medias coronas 25 box,152.90,available,-3%,157.63,https://selected-cigars.com/en/montecristo-medias-coronas,2020-04-06 19:21
montecristo,montecristo - petit edmundos,montecristo - petit edmundos 1 piece,11.40,available,0,11.40,https://selected-cigars.com/en/montecristo-petit-edmundos,2020-04-06 19:21
montecristo,montecristo - petit edmundos,montecristo - petit edmundos alu tubo 3pcs,35.00,available,-3%,36.08,https://selected-cigars.com/en/montecristo-petit-edmundos,2020-04-06 19:21
